stage,trial,perplexity,tokens_per_sec,model_size_mb,notes,params
base,0,3.9426672979224313,10134.377034197649,2840.24560546875,eval_count=128,"{""eval_dataset_id"": ""LGAI-EXAONE/MANTA-1M"", ""eval_dataset_split"": ""train"", ""eval_start"": 200000, ""eval_count"": 128}"
kd,1,3.1833220327104947,14020.377784267588,2840.24560546875,"temp=2.0, alpha=0.5, steps=1200, select=lb_proxy, proxy=0.257853","{""temp"": 2.0, ""alpha"": 0.5, ""steps"": 1200, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": 0.25785333748529676, ""perf_ratio"": 1.2385386264440794, ""perf_gain_ratio"": 0.23853862644407942, ""tpt_reduction_ratio"": 0.2771680485265141, ""tps_gain_ratio"": 0.38344742226946354}"
kd,2,3.120214377200103,14029.535834372642,2840.24560546875,"temp=2.0, alpha=0.4, steps=1200, select=lb_proxy, proxy=0.270614","{""temp"": 2.0, ""alpha"": 0.4, ""steps"": 1200, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": 0.270614242521313, ""perf_ratio"": 1.26358859401845, ""perf_gain_ratio"": 0.2635885940184499, ""tpt_reduction_ratio"": 0.2776398910241761, ""tps_gain_ratio"": 0.3843510841397641}"
kd,3,3.24933508036745,14021.414215821087,2840.24560546875,"temp=2.0, alpha=0.6, steps=1200, select=lb_proxy, proxy=0.245299","{""temp"": 2.0, ""alpha"": 0.6, ""steps"": 1200, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": 0.24529906176554783, ""perf_ratio"": 1.2133766448847054, ""perf_gain_ratio"": 0.21337664488470542, ""tpt_reduction_ratio"": 0.27722147864639024, ""tps_gain_ratio"": 0.3835496911657165}"
kd,4,3.1519762644139835,14013.949839946019,2840.24560546875,"temp=2.0, alpha=0.5, steps=840, select=lb_proxy, proxy=0.263846","{""temp"": 2.0, ""alpha"": 0.5, ""steps"": 840, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": 0.2638460709730624, ""perf_ratio"": 1.250855643310326, ""perf_gain_ratio"": 0.25085564331032595, ""tpt_reduction_ratio"": 0.27683649863579884, ""tps_gain_ratio"": 0.38281315098669216}"
kd,5,3.1168514617264287,14025.713990566113,2840.24560546875,"temp=2.0, alpha=0.4, steps=840, select=lb_proxy, proxy=0.271197","{""temp"": 2.0, ""alpha"": 0.4, ""steps"": 840, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": 0.2711974973042393, ""perf_ratio"": 1.2649519383059025, ""perf_gain_ratio"": 0.26495193830590247, ""tpt_reduction_ratio"": 0.27744305630257615, ""tps_gain_ratio"": 0.38397396734278366}"
kd,6,3.232571553399945,14039.681529435169,2840.24560546875,"temp=2.0, alpha=0.6, steps=840, select=lb_proxy, proxy=0.248915","{""temp"": 2.0, ""alpha"": 0.6, ""steps"": 840, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": 0.24891544771876428, ""perf_ratio"": 1.2196689950375958, ""perf_gain_ratio"": 0.21966899503759585, ""tpt_reduction_ratio"": 0.2781619003999327, ""tps_gain_ratio"": 0.3853522009354281}"
quant,1,3.2168639203622607,19.063388196849385,2864.15185546875,"method=gptq, calib=1024, block=128, damp=0.005, select=lb_proxy, proxy=-265.194528","{""method"": ""gptq"", ""calib_samples"": 1024, ""block_size"": 128, ""dampening"": 0.005, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": -265.19452821777503, ""perf_ratio"": 1.2256245198828417, ""perf_gain_ratio"": 0.2256245198828417, ""tpt_reduction_ratio"": -530.6146809554328, ""tps_gain_ratio"": -0.998118938329162}"
quant,2,3.197620850568571,19.110487956926136,2864.15185546875,"method=gptq, calib=1024, block=128, damp=0.01, select=lb_proxy, proxy=-264.535731","{""method"": ""gptq"", ""calib_samples"": 1024, ""block_size"": 128, ""dampening"": 0.01, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": -264.53573086724555, ""perf_ratio"": 1.233000246799549, ""perf_gain_ratio"": 0.2330002467995489, ""tpt_reduction_ratio"": -529.3044619812906, ""tps_gain_ratio"": -0.998114290805203}"
quant,3,3.1946286369545036,19.152949780503754,2864.15185546875,"method=gptq, calib=512, block=128, damp=0.005, select=lb_proxy, proxy=-263.947315","{""method"": ""gptq"", ""calib_samples"": 512, ""block_size"": 128, ""dampening"": 0.005, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": -263.94731461678515, ""perf_ratio"": 1.2341551228567982, ""perf_gain_ratio"": 0.23415512285679818, ""tpt_reduction_ratio"": -528.1287843564271, ""tps_gain_ratio"": -0.9981101009252099}"
quant,4,3.2041662769444557,19.14077490949087,2864.15185546875,"method=gptq, calib=512, block=128, damp=0.01, select=lb_proxy, proxy=-264.117433","{""method"": ""gptq"", ""calib_samples"": 512, ""block_size"": 128, ""dampening"": 0.01, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": -264.11743288236414, ""perf_ratio"": 1.2304814910174455, ""perf_gain_ratio"": 0.23048149101744553, ""tpt_reduction_ratio"": -528.4653472557458, ""tps_gain_ratio"": -0.9981113022690096}"
quant,5,3.2186007770005713,19.146800764257772,2864.15185546875,"method=gptq, calib=1024, block=64, damp=0.005, select=lb_proxy, proxy=-264.036876","{""method"": ""gptq"", ""calib_samples"": 1024, ""block_size"": 64, ""dampening"": 0.005, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": -264.0368757579564, ""perf_ratio"": 1.2249631349423276, ""perf_gain_ratio"": 0.22496313494232756, ""tpt_reduction_ratio"": -528.2987146508551, ""tps_gain_ratio"": -0.9981107076735305}"
quant,6,3.2079395315684662,19.137046977471496,2864.15185546875,"method=gptq, calib=1024, block=64, damp=0.01, select=lb_proxy, proxy=-264.169727","{""method"": ""gptq"", ""calib_samples"": 1024, ""block_size"": 64, ""dampening"": 0.01, ""selection_rule"": ""lb_proxy"", ""lb_proxy_score"": -264.1697269558385, ""perf_ratio"": 1.229034169479726, ""perf_gain_ratio"": 0.229034169479726, ""tpt_reduction_ratio"": -528.5684880811567, ""tps_gain_ratio"": -0.9981116701191504}"
final,0,3.1946286369545036,19.136855930757985,2864.15185546875,"method=gptq, calib=512, block=128, damp=0.005, select=lb_proxy, proxy=-263.947315","{""quant_method"": ""gptq"", ""selection_metric"": ""lb_proxy"", ""lb_proxy_score"": -264.1698098684191, ""perf_ratio"": 1.2341551228567982, ""perf_gain_ratio"": 0.23415512285679818, ""tpt_reduction_ratio"": -528.573774859695, ""tps_gain_ratio"": -0.998111688970503}"
